entry_time,pips,final_stop,side,EntryTime,Date,Pip,__row,Outcome,__kind
2022-12-13 13:26,3165.764046690515,1819.937670466905,long,2022-12-13 13:26:00,2022-12-13,3166,1851,win,top_winner
2023-04-14 13:57,2730.4993965220547,1995.7749620347795,short,2023-04-14 13:57:00,2023-04-14,2730,1936,win,top_winner
2021-11-30 15:31,2690.873689510522,1775.3612831048947,short,2021-11-30 15:31:00,2021-11-30,2691,1613,win,top_winner
2021-10-13 13:16,2666.069415989909,1792.020684159899,long,2021-10-13 13:16:00,2021-10-13,2666,1578,win,top_winner
2023-03-10 13:33,2362.909922037147,1862.6990452203715,long,2023-03-10 13:33:00,2023-03-10,2363,1904,win,top_winner
2021-10-22 15:11,2016.0249650987223,1789.8297403490128,short,2021-10-22 15:11:00,2021-10-22,2016,1587,win,top_winner
2025-07-15 15:14,1929.130224670689,3326.1486377532933,short,2025-07-15 15:14:00,2025-07-15,1929,2416,win,top_winner
2019-08-13 13:18,1920.265752073669,1498.1823424792633,short,2019-08-13 13:18:00,2019-08-13,1920,1044,win,top_winner
2019-09-25 14:08,1836.8097890387617,1507.0869021096123,short,2019-09-25 14:08:00,2019-09-25,1837,1080,win,top_winner
2025-07-23 15:39,1827.661506019831,3392.8633849398016,short,2025-07-23 15:39:00,2025-07-23,1828,2419,win,top_winner
2021-05-18 13:14,-517.8556660728646,1871.0285366607288,short,2021-05-18 13:14:00,2021-05-18,-518,1490,loss,top_loser
2022-03-07 13:04,-517.0834778977905,1982.3991152210224,long,2022-03-07 13:04:00,2022-03-07,-517,1690,loss,top_loser
2021-02-10 15:24,-516.0171338379996,1843.43019133838,short,2021-02-10 15:24:00,2021-02-10,-516,1432,loss,top_loser
2023-10-20 14:18,-515.3773058418665,1991.7337330584187,short,2023-10-20 14:18:00,2023-10-20,-515,2052,loss,top_loser
2021-09-10 13:34,-514.6898649428067,1795.486868649428,short,2021-09-10 13:34:00,2021-09-10,-515,1564,loss,top_loser
2022-10-05 14:04,-512.1116595400053,1706.6611565954,short,2022-10-05 14:04:00,2022-10-05,-512,1812,loss,top_loser
2023-06-16 14:03,-503.8560823264106,1959.541399176736,long,2023-06-16 14:03:00,2023-06-16,-504,1970,loss,top_loser
2025-09-02 13:34,-503.2164612791348,3502.6221646127915,short,2025-09-02 13:34:00,2025-09-02,-503,2447,loss,top_loser
2020-09-11 13:36,-493.525016745366,1951.6752401674537,short,2020-09-11 13:36:00,2020-09-11,-494,1323,loss,top_loser
2024-06-21 14:40,-489.9587744447217,2331.8804422555527,long,2024-06-21 14:40:00,2024-06-21,-490,2199,loss,top_loser
