entry_time,pips,final_stop,side,EntryTime,Date,Pip,__row,Outcome,__kind
2022-12-13 13:26,3165.764046690515,1819.937670466905,long,2022-12-13 13:26:00,2022-12-13,3166,929,win,top_winner
2021-10-13 13:16,2666.069415989909,1792.020684159899,long,2021-10-13 13:16:00,2021-10-13,2666,798,win,top_winner
2023-03-10 13:33,2362.909922037147,1862.6990452203715,long,2023-03-10 13:33:00,2023-03-10,2363,957,win,top_winner
2018-02-14 13:57,1812.8352227347928,1346.419352227348,long,2018-02-14 13:57:00,2018-02-14,1813,335,win,top_winner
2022-12-27 14:37,1801.9166824295328,1825.0091568242956,long,2022-12-27 14:37:00,2022-12-27,1802,935,win,top_winner
2021-01-20 13:27,1780.6700991141042,1857.996640991141,long,2021-01-20 13:27:00,2021-01-20,1781,715,win,top_winner
2021-05-17 13:21,1648.389600825226,1865.153936008252,long,2021-05-17 13:21:00,2021-05-17,1648,752,win,top_winner
2025-09-22 14:01,1640.4246029032038,3745.024246029032,long,2025-09-22 14:01:00,2025-09-22,1640,1259,win,top_winner
2015-12-04 13:59,1609.364984226545,1084.4326498422654,long,2015-12-04 13:59:00,2015-12-04,1609,74,win,top_winner
2015-04-27 14:02,1488.3076665868657,1205.2410766658686,long,2015-04-27 14:02:00,2015-04-27,1488,30,win,top_winner
2022-03-07 13:04,-517.0834778977905,1982.3991152210224,long,2022-03-07 13:04:00,2022-03-07,-517,854,loss,top_loser
2023-06-16 14:03,-503.8560823264106,1959.541399176736,long,2023-06-16 14:03:00,2023-06-16,-504,990,loss,top_loser
2024-06-21 14:40,-489.9587744447217,2331.8804422555527,long,2024-06-21 14:40:00,2024-06-21,-490,1114,loss,top_loser
2024-09-17 13:52,-484.3292388402915,2574.416717611597,long,2024-09-17 13:52:00,2024-09-17,-484,1144,loss,top_loser
2025-09-23 13:40,-465.2776509553405,3790.157223490447,long,2025-09-23 13:40:00,2025-09-23,-465,1260,loss,top_loser
2023-01-23 14:54,-463.02914978809895,1915.559648502119,long,2023-01-23 14:54:00,2023-01-23,-463,944,loss,top_loser
2020-08-06 14:59,-459.836005724901,2056.281519942751,long,2020-08-06 14:59:00,2020-08-06,-460,667,loss,top_loser
2025-04-01 15:08,-460.1208542453605,3127.4188114575463,long,2025-04-01 15:08:00,2025-04-01,-460,1217,loss,top_loser
2024-11-19 14:47,-459.1236040344484,2625.5586639596554,long,2024-11-19 14:47:00,2024-11-19,-459,1166,loss,top_loser
2020-10-30 15:03,-459.417158279598,1879.535828417204,long,2020-10-30 15:03:00,2020-10-30,-459,689,loss,top_loser
